code,name,parent_code,type,old_code
82,Tỉnh Đồng Tháp,,2,82;87
20,Tỉnh Lạng Sơn,,2,20
40,Tỉnh Nghệ An,,2,40
37,Tỉnh Ninh Bình,,2,35;36;37
25,Tỉnh Phú Thọ,,2,17;25;26
51,Tỉnh Quảng Ngãi,,2,51;62
22,Tỉnh Quảng Ninh,,2,22
44,Tỉnh Quảng Trị,,2,44;45
14,Tỉnh Sơn La,,2,14
38,Tỉnh Thanh Hóa,,2,38
19,Tỉnh Thái Nguyên,,2,19;06
8,Tỉnh Tuyên Quang,,2,08;02
80,Tỉnh Tây Ninh,,2,72;80
86,Tỉnh Vĩnh Long,,2,83;84;86
11,Tỉnh Điện Biên,,2,11
66,Tỉnh Đắk Lắk,,2,66;54
75,Tỉnh Đồng Nai,,2,70;75
46,Thành phố Huế,,2,46
1,Thành phố Hà Nội,,2,1
31,Thành phố Hải Phòng,,2,30;31
79,Thành phố Hồ Chí Minh,,2,74;77;79
48,Thành phố Đà Nẵng,,2,48;49
91,Tỉnh An Giang,,2,89;91
24,Tỉnh Bắc Ninh,,2,24;27
4,Tỉnh Cao Bằng,,2,4
96,Tỉnh Cà Mau,,2,95;96
52,Tỉnh Gia Lai,,2,64;52
42,Tỉnh Hà Tĩnh,,2,42
33,Tỉnh Hưng Yên,,2,33;34
56,Tỉnh Khánh Hòa,,2,56;58
12,Tỉnh Lai Châu,,2,12
15,Tỉnh Lào Cai,,2,10;15
68,Tỉnh Lâm Đồng,,2,68;60;67
92,Thành phố Cần Thơ,,2,92;93;94
11914,Đặc khu Cát Hải,31,4,11914;11917;11920;11923;11926;11929;11932;11935;11938;11941;11944;11947
11948,Đặc khu Bạch Long Vĩ,31,4,
10369,Xã Ứng Thiên,1,4,10363;10366;10369;10375
10402,Xã Ứng Hòa,1,4,10387;10390;10399;10411;10426;10432;10423;10402
18304,Xã Đức Đồng,42,4,18304;18307;18310
24958,Xã Đức Trọng,68,4,24958;24982
18229,Xã Đức Thọ,42,4,18229;18259;18280;18283
18277,Xã Đức Thịnh,42,4,18274;18277;18298
18262,Xã Đức Quang,42,4,18235;18262;18253
20977,Xã Đức Phú,48,4,20977;20980
4846,Xã Đức Nhàn,25,4,04846;04834
18244,Xã Đức Minh,42,4,18244;18241;18247
24664,Xã Đức Lập,68,4,24664;24676;24685
27964,Xã Đức Lập,80,4,27958;27964
5776,Xã Đức Lương,19,4,05770;05776;05767
1822,Xã Đức Long,4,4,01822;01810;01828
26898,Phường Thông Tây Hội,79,4,26898;26899
29590,Phường Thanh Đức,86,4,29545;29590
29557,Phường Phước Hậu,86,4,29557;29554;29596
29551,Phường Long Châu,86,4,29551;29542;29572
27265,Phường Khánh Hội,79,4,27271;27265;27295
22591,Phường Hòa Thắng,56,4,22591;22594;22582
26890,Phường Hạnh Thông,79,4,26890;26902
26884,Phường Gò Vấp,79,4,26884;26875
27442,Phường Bình Tân,79,4,27442
27448,Phường Bình Trị Đông,79,4,27445;27448
27439,Phường Bình Hưng Hòa,79,4,27436;27439
26983,Phường Bảy Hiền,79,4,26992;26983;26971
26876,Phường An Nhơn,79,4,26887;26876
27460,Phường An Lạc,79,4,27460;27463;27451
26878,Phường An Hội Đông,79,4,26872;26878
7192,Đặc khu Cô Tô,22,4,07192;07195;07198
27364,Phường Bình Phú,79,4,27385;27364
29771,Phường Bình Minh,86,4,29771;29806
25480,Phường Bình Minh,80,4,25480;25477;25474;25471
26905,Phường Bình Lợi Trung,79,4,26923;26908;26905
26089,Phường Bình Lộc,75,4,26323;26089;26095
25326,Phường Bình Long,75,4,25324;25320;25326;25354
22045,Phường Bình Kiến,66,4,22024;22042;22045;22162
7081,Phường Bình Khê,22,4,07081;07096;07078
25987,Phường Bình Hòa,79,4,25987;25990
25760,Phường Bình Dương,79,4,25760;25762;25763;25924
25915,Phường Bình Cơ,79,4,25897;25915
6673,Phường Bãi Cháy,22,4,06673;06679
5528,Phường Bách Quang,19,4,05528;05506;05527
5533,Phường Bá Xuyên,19,4,05533;05512;05509
20335,Phường Bàn Thạch,48,4,20335;20375;20362
27154,Phường Bàn Cờ,79,4,27160;27157;27154;27151;27148
292,Phường Bạch Mai,1,4,00292;00289;00277;00271;00295;00280
31825,Phường Bạc Liêu,96,4,31825;31813;31816;31822;31828
30292,Phường Bình Đức,91,4,30289;30292;30310
21907,Phường Bình Định,52,4,21907;21937;21931
27424,Phường Bình Đông,79,4,27424;27433
28315,Phường Bình Xuân,82,4,28315;28717
27367,Phường Bình Tây,79,4,27367;27352
27097,Phường Bình Trưng,79,4,27097;27100;27091
